DEP,COD_MUNI_,NOMBRE,Total_Viviendas,POBL.
1,101,La Ceiba,"51,571","197,267"
1,102,El Porvenir,"5,942","21,854"
1,103,Esparta,"5,100","18,447"
1,104,Jutiapa,"8,304","34,224"
1,105,La Masica,"8,070","29,427"
1,106,San Francisco,"3,992","14,559"
1,107,Tela,"25,072","96,758"
1,108,Arizona,"5,939","23,714"
2,201,Trujillo,"15,970","60,558"
2,202,Balfate,"3,137","13,103"
2,203,Iriona,"5,135","20,730"
2,204,Limon,"3,144","13,742"
2,205,Santa Fe,"1,725","5,428"
2,206,Santa Rosa de Aguan,"1,768","5,376"
2,207,Sonaguera,"11,381","43,152"
2,208,Saba,"7,793","29,561"
2,209,Tocoa,"22,980","89,849"
2,210,Bonito Oriental,"6,767","28,427"
3,301,Comayagua,"35,322","144,785"
3,302,Ajuterique,"3,179","11,356"
3,303,El Rosario,"7,562","28,842"
3,304,Esquias,"5,514","20,519"
3,305,Humuya,379,"1,319"
3,306,La Libertad,"6,708","25,891"
3,307,Lamani,"1,561","7,009"
3,308,La Trinidad,"1,098","4,515"
3,309,Lejamani,"1,473","5,680"
3,310,Meambar,"3,082","12,522"
3,311,Minas de Oro,"3,466","13,128"
3,312,Ojos de Agua,"2,596","10,341"
3,313,San Jerónimo,"5,460","20,979"
3,314,San Jose de Comayagua,"2,010","7,797"
3,315,San Jose del Potrero,"1,697","6,708"
3,316,San Luis,"2,952","11,102"
3,317,San Sebastian,902,"3,649"
3,318,Siguatepeque,"25,881","95,121"
3,319,Villa de San Antonio,"6,355","23,658"
3,320,Las Lajas,"3,672","14,311"
3,321,Taulabe,"6,958","24,235"
4,401,Santa Rosa de Copan,"16,997","61,083"
4,402,Cabana,"3,608","13,727"
4,403,Concepción,"1,916","7,720"
4,404,Copan Ruinas,"9,473","38,109"
4,405,Corquin,"4,751","16,402"
4,406,Cucuyagua,"4,344","16,073"
4,407,Dolores,"1,475","6,420"
4,408,Dulce Nombre,"1,673","5,671"
4,409,El Paraiso,"5,117","19,882"
4,410,Florida,"6,885","28,331"
4,411,La Jigua,"2,347","9,288"
4,412,La Union,"4,241","16,007"
4,413,Nueva Arcadia,"11,125","40,350"
4,414,San Agustin,"1,513","5,498"
4,415,San Antonio,"2,709","9,739"
4,416,San Jeronimo,"1,396","5,020"
4,417,San Jose,"1,940","6,975"
4,418,San Juan de Opoa,"2,800","9,620"
4,419,San Nicolas,"2,088","7,553"
4,420,San Pedro,"2,026","7,540"
4,421,Santa Rita,"7,442","29,927"
4,422,Trinidad de Copan,"1,923","6,865"
4,423,Veracruz,852,"3,259"
5,501,San Pedro Sula,"198,190","719,064"
5,502,Choloma,"63,894","231,668"
5,503,Omoa,"12,088","45,179"
5,504,Pimienta,"5,282","18,557"
5,505,Potrerillos,"6,643","23,678"
5,506,Puerto Cortes,"32,328","122,426"
5,507,San Antonio de Cortes,"5,845","22,135"
5,508,San Francisco de Yojoa,"6,031","21,955"
5,509,San Manuel,"13,757","53,083"
5,510,Santa Cruz de Yojoa,"22,252","82,760"
5,511,Villanueva,"42,160","149,977"
5,512,La Lima,"18,278","71,910"
6,601,Choluteca,"38,799","152,519"
6,602,Apacilagua,"2,248","9,065"
6,603,Concepcion de Maria,"5,906","26,875"
6,604,Duyure,755,"3,519"
6,605,El Corpus,"5,846","24,646"
6,606,El Triunfo,"9,939","43,670"
6,607,Marcovia,"11,331","45,639"
6,608,Morolica,"1,240","5,000"
6,609,Namasigue,"6,788","30,056"
6,610,Orocuina,"4,535","18,315"
6,611,Pespire,"6,141","23,913"
6,612,San Antonio de Flores,"1,527","5,445"
6,613,San Isidro,"1,012","3,690"
6,614,San Jose,"1,016","4,300"
6,615,San Marcos de Colon,"6,260","26,494"
6,616,Santa Ana de Yusguare,"3,462","14,474"
7,701,Yuscaran,"4,207","14,144"
7,702,Alauca,"2,242","9,109"
7,703,Danli,"46,338","195,916"
7,704,El Paraiso,"11,027","44,770"
7,705,Guinope,"2,945","8,510"
7,706,Jacaleapa,"1,219","3,966"
7,707,Liure,"2,219","10,654"
7,708,Moroceli,"4,725","16,579"
7,709,Oropoli,"1,738","5,931"
7,710,Potrerillos,"1,225","4,242"
7,711,San Antonio de Flores,"1,417","5,564"
7,712,San Lucas,"2,059","7,712"
7,713,San Matias,"1,444","5,040"
7,714,Soledad,"2,335","9,350"
7,715,Teupasenti,"11,151","41,683"
7,716,Texiguat,"2,046","8,727"
7,717,Vado Ancho,838,"3,981"
7,718,Yauyupe,442,"1,335"
7,719,Trojes,"10,520","47,294"
8,801,Distrito Central,"293,523","1,157,509"
8,802,Alubaren,"1,336","5,532"
8,803,Cedros,"7,513","24,305"
8,804,Curaren,"4,086","20,335"
8,805,El Porvenir,"5,270","20,149"
8,806,Guaimaca,"7,930","28,076"
8,807,La Libertad,657,"2,789"
8,808,La Venta,"1,780","6,173"
8,809,Lepaterique,"4,618","19,807"
8,810,Maraita,"2,017","6,689"
8,811,Marale,"2,262","9,132"
8,812,Nueva Armenia,"1,048","3,515"
8,813,Ojojona,"3,170","10,457"
8,814,Orica,"3,815","13,815"
8,815,Reitoca,"2,493","10,649"
8,816,Sabanagrande,"5,347","20,496"
8,817,San Antonio de Oriente,"4,518","15,006"
8,818,San Buenaventura,700,"2,780"
8,819,San Ignacio,"2,862","8,796"
8,820,San Juan de Flores,"4,499","15,354"
8,821,San Miguelito,492,"1,910"
8,822,Santa Ana,"4,188","16,009"
8,823,Santa Lucia,"2,957","11,906"
8,824,Talanga,"9,628","34,997"
8,825,Tatumbla,"2,170","7,197"
8,826,Valle de Angeles,"5,455","16,678"
